iter	Passed	Remaining
0	181	181259
1	203	101437
2	216	71830
3	227	56704
4	239	47673
5	252	41774
6	263	37348
7	274	34012
8	286	31521
9	300	29719
10	314	28237
11	326	26896
12	340	25871
13	370	26065
14	388	25541
15	406	25030
16	431	24952
17	450	24568
18	470	24312
19	490	24028
20	513	23915
21	534	23768
22	548	23293
23	561	22835
24	573	22349
25	586	21976
26	600	21631
27	613	21300
28	626	20991
29	638	20647
30	651	20370
31	666	20153
32	679	19897
33	691	19651
34	702	19373
35	716	19178
36	730	19007
37	743	18833
38	756	18646
39	769	18476
40	781	18277
41	793	18104
42	806	17948
43	821	17853
44	832	17675
45	846	17559
46	862	17491
47	880	17456
48	896	17408
49	913	17365
50	958	17826
51	978	17847
52	993	17743
53	1008	17663
54	1024	17604
55	1039	17528
56	1072	17736
57	1138	18496
58	1171	18682
59	1224	19179
60	1243	19134
61	1284	19431
62	1310	19488
63	1336	19544
64	1357	19522
65	1384	19587
66	1403	19545
67	1426	19545
68	1452	19600
69	1474	19589
70	1506	19717
71	1526	19673
72	1546	19644
73	1568	19630
74	1592	19636
75	1619	19694
76	1652	19803
77	1673	19783
78	1695	19763
79	1715	19733
80	1734	19682
81	1750	19591
82	1763	19483
83	1777	19382
84	1796	19334
85	1819	19339
86	1833	19237
87	1845	19125
88	1856	19005
89	1871	18918
90	1885	18832
91	1898	18739
92	1912	18649
93	1927	18582
94	1942	18501
95	1960	18463
96	1981	18444
97	2000	18416
98	2025	18430
99	2043	18388
100	2064	18372
101	2084	18353
102	2105	18340
103	2124	18304
104	2141	18253
105	2205	18602
106	2245	18739
107	2267	18728
108	2283	18665
109	2300	18617
110	2320	18581
111	2332	18493
112	2344	18403
113	2356	18315
114	2366	18215
115	2379	18129
116	2391	18051
117	2404	17970
118	2414	17876
119	2426	17792
120	2438	17713
121	2449	17627
122	2462	17555
123	2474	17478
124	2486	17407
125	2497	17325
126	2510	17254
127	2522	17182
128	2533	17108
129	2544	17030
130	2556	16956
131	2568	16889
132	2579	16812
133	2590	16741
134	2603	16678
135	2616	16620
136	2627	16549
137	2638	16483
138	2651	16423
139	2663	16362
140	2675	16297
141	2688	16245
142	2701	16190
143	2713	16131
144	2725	16072
145	2737	16014
146	2749	15956
147	2762	15902
148	2775	15853
149	2788	15802
150	2802	15758
151	2815	15710
